,Timestamp,Query Type,Domain,Source IP,Forward IP,Reply IP
0,Aug  5 23:47:19 2024,,pull-fcdn-base2.s.bytefcdn-oversea.com,,,45.197.66.183
1,Aug  5 23:47:19 2024,,pull-fcdn-base2.s.bytefcdn-oversea.com,,,98.96.192.78
2,Aug  5 23:47:19 2024,,pull-fcdn-base2.s.bytefcdn-oversea.com,,,45.197.66.182
3,Aug  5 23:47:19 2024,,pull-fcdn-base2.s.bytefcdn-oversea.com,,,98.96.192.7
4,Aug  5 23:47:19 2024,,pull-fcdn-base2.s.bytefcdn-oversea.com,,,98.96.192.11
5,Aug  5 23:47:19 2024,,pull-fcdn-base2.s.bytefcdn-oversea.com,,,45.197.66.187
6,Aug  5 23:47:19 2024,,pull-fcdn-base2.s.bytefcdn-oversea.com,,,98.96.192.69
7,Aug  5 23:47:19 2024,,pull-fcdn-base2.s.bytefcdn-oversea.com,,,98.96.192.6
8,Aug  5 23:47:19 2024,,pull-fcdn-base2.s.bytefcdn-oversea.com,,,98.96.192.10
9,Aug  5 23:47:19 2024,,pull-fcdn-base2.s.bytefcdn-oversea.com,,,45.197.66.180
10,Aug  5 23:47:19 2024,A,push-rtmp-f5-tt03.fcdn.eu.tiktokcdn.com,192.168.3.114,,
11,Aug  5 23:47:19 2024,,push-rtmp-f5-tt03.fcdn.eu.tiktokcdn.com,,8.8.8.8,
12,Aug  5 23:47:19 2024,,push-rtmp-f5-tt03.fcdn.eu.tiktokcdn.com,,,<CNAME>
13,Aug  5 23:47:19 2024,,push-rtmp-f5-tt03.fcdn.eu.tiktokcdn.com.c.bytefcdn-ttpeu.com,,,<CNAME>
14,Aug  5 23:47:19 2024,,push-base2.s.bytefcdn-ttpeu.com,,,143.42.245.114
15,Aug  5 23:47:19 2024,,push-base2.s.bytefcdn-ttpeu.com,,,71.18.71.107
16,Aug  5 23:47:19 2024,,push-base2.s.bytefcdn-ttpeu.com,,,71.18.49.230
17,Aug  5 23:47:19 2024,,push-base2.s.bytefcdn-ttpeu.com,,,139.177.241.195
18,Aug  5 23:47:19 2024,,push-base2.s.bytefcdn-ttpeu.com,,,71.18.49.236
19,Aug  5 23:47:19 2024,,push-base2.s.bytefcdn-ttpeu.com,,,71.18.87.226
20,Aug  5 23:47:19 2024,,push-base2.s.bytefcdn-ttpeu.com,,,71.18.49.229
21,Aug  5 23:47:19 2024,,pull-c5-gcp01.fcdn.eu.tiktokcdn.com.c.bytefcdn-ttpeu.com,,,<CNAME>
22,Aug  5 23:47:19 2024,,pull-base1.s.bytefcdn-ttpeu.com,,,143.42.210.227
23,Aug  5 23:47:19 2024,,pull-base1.s.bytefcdn-ttpeu.com,,,207.211.211.112
24,Aug  5 23:47:19 2024,,pull-base1.s.bytefcdn-ttpeu.com,,,207.211.211.87
25,Aug  5 23:47:19 2024,,pull-base1.s.bytefcdn-ttpeu.com,,,71.18.45.201
26,Aug  5 23:47:19 2024,A,pull-flv-l10-sg01.tiktokcdn.com.rocket-cdn.com,192.168.3.114,,
27,Aug  5 23:47:19 2024,,pull-flv-l10-sg01.tiktokcdn.com.rocket-cdn.com,,8.8.8.8,
28,Aug  5 23:47:19 2024,A,pull-f5-va01.tiktokcdn-us.com,192.168.3.114,,
29,Aug  5 23:47:19 2024,,pull-f5-va01.tiktokcdn-us.com,,8.8.8.8,
30,Aug  5 23:47:19 2024,,pull-f5-va01.tiktokcdn-us.com,,,<CNAME>
31,Aug  5 23:47:19 2024,,pull-f5-va01.tiktokcdn-us.com.c.worldfcdn2.com,,,<CNAME>
32,Aug  5 23:47:19 2024,,pull-fcdn-ttp5.s.worldfcdn2.com,,,71.18.53.226
33,Aug  5 23:47:19 2024,,pull-fcdn-ttp5.s.worldfcdn2.com,,,71.18.53.224
34,Aug  5 23:47:19 2024,,pull-fcdn-ttp5.s.worldfcdn2.com,,,71.18.27.225
35,Aug  5 23:47:19 2024,,pull-fcdn-ttp5.s.worldfcdn2.com,,,71.18.50.229
36,Aug  5 23:47:19 2024,A,pull-flv-o77-sg01.tiktokcdn-us.com,192.168.3.114,,
37,Aug  5 23:47:19 2024,,pull-flv-o77-sg01.tiktokcdn-us.com,,8.8.8.8,
38,Aug  5 23:47:19 2024,,pull-flv-o77-sg01.tiktokcdn-us.com,,,<CNAME>
39,Aug  5 23:47:19 2024,,1260974325.rsc.cdn77.org,,,156.146.53.1
40,Aug  5 23:47:19 2024,,1260974325.rsc.cdn77.org,,,156.146.53.26
41,Aug  5 23:47:19 2024,,1260974325.rsc.cdn77.org,,,156.146.53.25
42,Aug  5 23:47:19 2024,A,a1371.z.akamai.net,192.168.3.114,,
43,Aug  5 23:47:19 2024,,a1371.z.akamai.net,,8.8.8.8,
44,Aug  5 23:47:20 2024,,pull-flv-l10-sg01.tiktokcdn.com.rocket-cdn.com,,,<CNAME>
45,Aug  5 23:47:20 2024,,hcdnl.pulltiktok.ovc.gslb.rocket-cdn.com,,,148.153.201.150
46,Aug  5 23:47:20 2024,,hcdnl.pulltiktok.ovc.gslb.rocket-cdn.com,,,38.60.178.90
47,Aug  5 23:47:20 2024,,a1371.z.akamai.net,,,23.62.46.211
48,Aug  5 23:47:20 2024,,a1371.z.akamai.net,,,23.62.46.209
49,Aug  5 23:47:20 2024,A,1561539925.rsc.cdn77.org,192.168.3.114,,
50,Aug  5 23:47:20 2024,,1561539925.rsc.cdn77.org,,8.8.8.8,
51,Aug  5 23:47:20 2024,A,pull-o5-va01.tiktokcdn-us.com.c.worldfcdn2.com,192.168.3.114,,
52,Aug  5 23:47:20 2024,,pull-o5-va01.tiktokcdn-us.com.c.worldfcdn2.com,,8.8.8.8,
53,Aug  5 23:47:20 2024,,1561539925.rsc.cdn77.org,,,156.146.53.26
54,Aug  5 23:47:20 2024,,1561539925.rsc.cdn77.org,,,156.146.53.1
55,Aug  5 23:47:20 2024,,1561539925.rsc.cdn77.org,,,156.146.53.25
56,Aug  5 23:47:20 2024,A,1037185619.rsc.cdn77.org,192.168.3.114,,
57,Aug  5 23:47:20 2024,,1037185619.rsc.cdn77.org,,8.8.8.8,
58,Aug  5 23:47:20 2024,,pull-o5-va01.tiktokcdn-us.com.c.worldfcdn2.com,,,<CNAME>
59,Aug  5 23:47:20 2024,,pull-fcdn-ttp8.s.worldfcdn2.com,,,71.18.53.226
60,Aug  5 23:47:20 2024,,pull-fcdn-ttp8.s.worldfcdn2.com,,,71.18.53.227
61,Aug  5 23:47:20 2024,,pull-fcdn-ttp8.s.worldfcdn2.com,,,71.18.27.225
62,Aug  5 23:47:20 2024,,pull-fcdn-ttp8.s.worldfcdn2.com,,,71.18.53.225
63,Aug  5 23:47:20 2024,,1037185619.rsc.cdn77.org,,,156.146.53.1
64,Aug  5 23:47:20 2024,,1037185619.rsc.cdn77.org,,,156.146.53.26
65,Aug  5 23:47:20 2024,,1037185619.rsc.cdn77.org,,,156.146.53.25
66,Aug  5 23:47:20 2024,A,1682337735.rsc.cdn77.org,192.168.3.114,,
67,Aug  5 23:47:20 2024,,1682337735.rsc.cdn77.org,,8.8.8.8,
68,Aug  5 23:47:20 2024,A,pull-f5-tt02.fcdn.eu.tiktokcdn.com,192.168.3.114,,
69,Aug  5 23:47:20 2024,,pull-f5-tt02.fcdn.eu.tiktokcdn.com,,8.8.8.8,
70,Aug  5 23:47:20 2024,,pull-f5-tt02.fcdn.eu.tiktokcdn.com,,,<CNAME>
71,Aug  5 23:47:20 2024,,pull-f5-tt02.fcdn.eu.tiktokcdn.com.c.bytefcdn-ttpeu.com,,,<CNAME>
72,Aug  5 23:47:20 2024,,pull-base1.s.bytefcdn-ttpeu.com,,,143.42.210.227
73,Aug  5 23:47:20 2024,,pull-base1.s.bytefcdn-ttpeu.com,,,71.18.45.201
74,Aug  5 23:47:20 2024,,pull-base1.s.bytefcdn-ttpeu.com,,,207.211.211.112
75,Aug  5 23:47:20 2024,,pull-base1.s.bytefcdn-ttpeu.com,,,207.211.211.87
76,Aug  5 23:47:20 2024,,1682337735.rsc.cdn77.org,,,156.146.53.25
77,Aug  5 23:47:20 2024,,1682337735.rsc.cdn77.org,,,156.146.53.26
78,Aug  5 23:47:20 2024,,1682337735.rsc.cdn77.org,,,156.146.53.1
79,Aug  5 23:47:20 2024,A,1483844406.rsc.cdn77.org,192.168.3.114,,
80,Aug  5 23:47:20 2024,,1483844406.rsc.cdn77.org,,8.8.8.8,
81,Aug  5 23:47:20 2024,A,1059928774.rsc.cdn77.org,192.168.3.114,,
82,Aug  5 23:47:20 2024,,1059928774.rsc.cdn77.org,,8.8.8.8,
83,Aug  5 23:47:20 2024,,1483844406.rsc.cdn77.org,,,156.146.53.26
84,Aug  5 23:47:20 2024,,1483844406.rsc.cdn77.org,,,156.146.53.1
85,Aug  5 23:47:20 2024,,1483844406.rsc.cdn77.org,,,156.146.53.25
86,Aug  5 23:47:20 2024,,1059928774.rsc.cdn77.org,,,156.146.53.26
87,Aug  5 23:47:20 2024,,1059928774.rsc.cdn77.org,,,156.146.53.25
88,Aug  5 23:47:20 2024,,1059928774.rsc.cdn77.org,,,156.146.53.1
89,Aug  5 23:47:20 2024,A,1928505594.rsc.cdn77.org,192.168.3.114,,
90,Aug  5 23:47:20 2024,,1928505594.rsc.cdn77.org,,8.8.8.8,
91,Aug  5 23:47:20 2024,A,pull-flv-q10-sg01.tiktokcdn.com,192.168.3.114,,
92,Aug  5 23:47:20 2024,,pull-flv-q10-sg01.tiktokcdn.com,,8.8.8.8,
93,Aug  5 23:47:20 2024,,1928505594.rsc.cdn77.org,,,84.17.61.17
94,Aug  5 23:47:20 2024,A,fk8omwirn7.mncdn.com,192.168.3.114,,
95,Aug  5 23:47:20 2024,,fk8omwirn7.mncdn.com,,8.8.8.8,
96,Aug  5 23:47:20 2024,,fk8omwirn7.mncdn.com,,,185.155.102.92
97,Aug  5 23:47:20 2024,A,pull-f5-va01.tiktokcdn.com.c.bytefcdn-oversea.com,192.168.3.114,,
98,Aug  5 23:47:20 2024,,pull-f5-va01.tiktokcdn.com.c.bytefcdn-oversea.com,,8.8.8.8,
99,Aug  5 23:47:20 2024,,pull-f5-va01.tiktokcdn.com.c.bytefcdn-oversea.com,,,<CNAME>
100,Aug  5 23:47:20 2024,,pull-fcdn-base1.s.bytefcdn-oversea.com,,,98.98.70.44
101,Aug  5 23:47:20 2024,,pull-fcdn-base1.s.bytefcdn-oversea.com,,,98.96.192.10
102,Aug  5 23:47:20 2024,,pull-fcdn-base1.s.bytefcdn-oversea.com,,,98.96.192.7
103,Aug  5 23:47:20 2024,,pull-fcdn-base1.s.bytefcdn-oversea.com,,,98.96.192.6
104,Aug  5 23:47:20 2024,,pull-fcdn-base1.s.bytefcdn-oversea.com,,,98.96.192.67
105,Aug  5 23:47:20 2024,,pull-fcdn-base1.s.bytefcdn-oversea.com,,,169.150.221.72
106,Aug  5 23:47:20 2024,,pull-fcdn-base1.s.bytefcdn-oversea.com,,,98.96.192.69
107,Aug  5 23:47:20 2024,,pull-fcdn-base1.s.bytefcdn-oversea.com,,,45.197.66.185
108,Aug  5 23:47:20 2024,,pull-fcdn-base1.s.bytefcdn-oversea.com,,,45.197.66.186
109,Aug  5 23:47:20 2024,,pull-fcdn-base1.s.bytefcdn-oversea.com,,,98.96.192.73
110,Aug  5 23:47:20 2024,,pull-fcdn-base1.s.bytefcdn-oversea.com,,,98.96.192.78
111,Aug  5 23:47:20 2024,,pull-fcdn-base1.s.bytefcdn-oversea.com,,,169.150.221.187
112,Aug  5 23:47:20 2024,,pull-fcdn-base1.s.bytefcdn-oversea.com,,,98.96.192.11
113,Aug  5 23:47:20 2024,,pull-fcdn-base1.s.bytefcdn-oversea.com,,,45.197.66.187
